NAME,R,RUPPER,RLOWER,UR,MSINI,A,PER,PERUPPER,PERLOWER,UPER,ECC,MASS,MASSUPPER,MASSLOWER,UMASS
,rearth,rearth,rearth,rearth,mjupiter,au,day,day,day,day,,mearth,mearth,mearth,mearth
Kepler-30 d,8.792145141656606,0.4995540069299634,0.4995540069299634,0.4995540069299634,,0.534239,143.343,0.009,0.009,0.009,0.022,23.10119959827257,2.70014132720699,2.70014132720699,2.70014132720699
Kepler-1628 b,6.433954939558801,0.15939170599394803,1.2865668082971418,0.7229792571455449,,0.288651,76.378033,0.001833,0.001833,0.001833,0,35.64027262227579,0.9816592367178869,0.9816592367178869,0.9816592367178869
Kepler-858 b,4.864697637227387,0.003811053448519151,0.4333391950580894,0.21857512425330428,,0.346809,76.13602028,0.00005533,0.00005533,0.00005533,0,24.907033584412975,2.2504848508586925,2.2504848508586925,2.2504848508586925
Kepler-27 c,4.895623215064047,,,,,0.168484,31.3309,0.00044,0.00044,0.00044,0,25.234289349201564,25.234289349201564,25.234289349201564,25.234289349201564
Kepler-486 b,10.996010097050846,0.0030264247973534435,0.9609459180633729,0.48198617143036326,,0.176071,30.36044667,0.00000424,0.00000424,0.00000424,0,242.20803957015164,54.83830285226473,54.83830285226473,54.83830285226473
Kepler-38 b,4.346114143710509,0.1099018142707076,0.1099018142707076,0.1099018142707076,,0.429659,105.595,0.053,0.038,0.0455,0,19.745818941448228,1.0148202219544038,1.0148202219544038,1.0148202219544038
Kepler-79 d,7.319464417302958,0.13226597262507642,0.16365111867170473,0.1479585456483906,,0.272969,52.09059,0.000073,0.000073,0.000073,0.025,6.006733956010846,2.1007678015466507,1.5986175554886006,1.8496926785176258
Kepler-1321 b,4.920742540882081,0.010424352079772973,1.2001455668616046,0.6052849594706887,,0.0794372,11.12830484,0.00002043,0.00002043,0.00002043,0,25.501732027719193,6.041789128251482,6.041789128251482,6.041789128251482
Kepler-122 c,5.869986283062353,1.1599949978833821,1.1599949978833821,1.1599949978833821,,0.105218,12.465988,0.000009,0.000009,0.000009,,36.67571914231194,13.372960249071005,13.372960249071005,13.372960249071005
Kepler-148 d,8.675751085746539,0.008743004970132171,0.9216023956977782,0.46517270033395525,,0,51.84688575,0.0000257,0.0000257,0.0000257,0,136.13483860600581,24.814358260520233,24.814358260520233,24.814358260520233
Kepler-725 b,10.626113732929868,0.0030264247973534435,1.4429320894937365,0.7229792571455449,,0.218045,39.64317811,0.0000111,0.0000111,0.0000111,0,198.16151757557495,56.55260565431354,56.55260565431354,56.55260565431354
Kepler-667 b,4.730189868456123,0.001569257302331415,0.6709695865539894,0.3362694219281604,,0.227107,41.43962808,0.00008183,0.00008183,0.00008183,0,23.50911721904188,3.3132699558099827,3.3132699558099827,3.3132699558099827
K2-19 c,4.533999078722504,0.48902877402361206,0.48902877402361206,0.48902877402361206,,0.0996107,11.90715,0.0015,0.0015,0.0015,,21.544597398814904,4.612472481671186,4.612472481671186,4.612472481671186
Kepler-562 b,5.2121760398864865,0.0001120898073093868,1.042323118169988,0.5212176039886486,,0.13125,18.00931444,0.0000099,0.0000099,0.0000099,0,28.71085347996384,5.601613121422115,5.601613121422115,5.601613121422115
WASP-130 b,10.248505590066008,0.32970320101597655,0.32970320101597655,0.32970320101597655,1.23398,0.101359,11.55098,0.00001,0.00001,0.00001,0,392.2873998192226,14.954574615848145,14.954574615848145,14.954574615848145
Kepler-468 b,13.338687069817029,0.0010088082657844812,0.615485131935843,0.3082469701008137,,0.220045,38.47875707,0.00000485,0.00000485,0.00000485,0,317.8166114291453,0,0,0
Kepler-30 c,12.288966024364623,0.3996427571847415,0.3996427571847415,0.3996427571847415,,0.300013,60.3231,0.0002,0.0002,0.0002,0.0111,640.0349829265843,50.00272310937029,50.00272310937029,50.00272310937029
Kepler-397 c,6.179993063137926,0.5599995564196234,0.5599995564196234,0.5599995564196234,,0.516293,135.498527,0.000668,0.000668,0.000668,,31.99650517224063,1.5342787606708848,1.5342787606708848,1.5342787606708848
Kepler-584 b,4.214576754832944,0.023202590113043067,2.1289217102271834,1.0760621501701133,,0.221415,35.1810304,0.00009392,0.00009392,0.00009392,0,18.53446092698604,9.196182560008033,9.196182560008033,9.196182560008033
