NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
Kepler-1640 b,4.819861714303633,,0.081813,7.5844126,0,24.43644252786984
Kepler-174 d,2.1899994462300683,,0.771174,247.35373,,5.21749996484885
Kepler-253 d,3.1699894225553065,,0.135013,18.119869,,9.531860464999498
Kepler-914 b,1.3787046299054577,,0.054326,4.40966548,0,2.8307766671688257
HD 131664 b,,18.3282,3.17098,1951,0.638,5825.00641759566
HIP 57050 b,,0.297735,0.163506,41.397,0.314,94.62512880385658
CoRoT-24 b,3.550590363274329,0,0.0562894,5.1134,0,0
GJ 687 b,,0.0590189,0.165144,38.14,0.04,18.43336346289043
WASP-132 b,9.973549292736081,0.416425,0.0673355,7.133521,0,132.34996058049614
WASP-76 b,21.0416107179254,0.921004,0.0329796,1.809886,0,292.8889833283117
Kepler-9 d,1.639997179724369,,0.0266925,1.592851,0,3.870148222356131
Kepler-49 b,2.7175725422931594,,0.0598092,7.2037945,,7.138383564326604
WASP-73 b,13.002417647888867,1.87866,0.0551807,4.08722,0,597.6827412875364
Kepler-1467 b,3.295440334895972,,0.24258,47.0569043,0,10.34788639650497
Kepler-643 b,10.155336542230444,,0.126015,16.33889626,0,158.28570297278296
WASP-67 b,15.692573023314152,0.418184,0.0517914,4.61442,0,133.26368333835492
BD +49 828 b,,1.57419,4.24519,2590,0.35,500.3037315456462
HD 147018 c,,6.59355,1.92274,1008,0.133,2095.539718288641
Kepler-1055 b,1.2329878804032548,,0.0338227,2.29503623,0,1.936402584613839
Kepler-1254 b,1.546839340869538,,0.0835695,9.99113313,0,3.681682971778648
Kepler-1329 b,2.174542261802104,,0.0777748,9.33646594,0,5.1721793160590535
Kepler-531 b,2.7798272212727926,,0.173489,29.88485741,0,7.4214628201265445
Kepler-1261 b,2.2642141076496136,,0.243384,48.4308991,0,5.442609470724114
Kepler-32 b,2.200322917483263,,0.0520435,5.90124,0,5.248042141207191
Kepler-1521 b,2.4996027029993257,,0.238093,47.14840805,0,6.248274580696997
HD 92788 b,,3.56392,0.951142,325.81,0.334,1132.6729778045594
Kepler-83 c,2.3650949342280616,,0.125924,20.09,,5.769897017173847
Kepler-694 b,2.80224518273467,,0.0665428,6.36584161,0,7.526723681831878
CoRoT-26 b,14.123315720982736,0.478732,0.052477,4.20474,0,152.38639103143515
HAT-P-12 b,10.749412520970195,0.210772,0.0383737,3.2130598,0,66.99701295570954
Kepler-178 c,2.879990673084461,,0.146843,20.552802,,7.906101370894849
Kepler-994 b,1.602884244524231,,0.0177185,1.15116651,0,3.79412648890228
Kepler-603 c,6.501208823944434,,0.498476,127.9075774,0,36.65633232901476
Kepler-82 d,1.769998938241796,,0.0349155,2.382961,,4.147761032439489
Kepler-1417 b,0.9975992850535426,,0.146844,20.3505213,0,0.9187728638144019
HD 114613 b,,0.506039,5.3109,3827,0.25,160.82760023099328
Kepler-307 c,,,0.105129,13.0729,,
K2-5 b,1.7580501647826157,,0.0507499,5.73594,,4.121414035352013
Kepler-130 d,1.639997179724369,,0.385778,87.517905,,3.870148222356131
HIP 41378 b,2.933973124284661,,0.127856,15.5712,,8.182919639449633
HD 154857 b,,2.24797,1.2912,408.6,0.46,714.4422079943757
GJ 628 d,,0.0243824,0.470207,217.186363,0.552796,7.749131746509992
Kepler-106 e,2.5597725115630046,,0.243344,43.8445,0,6.479104785577984
Kepler-355 b,1.4599921581662252,,0.0969854,11.03189,,3.4262219795119013
Kepler-220 c,1.5699970950596571,,0.0848919,9.034199,,3.72782994375816
Kepler-243 b,2.449991754284191,,0.0625614,5.715442,,6.065974972381239
Kepler-712 b,3.407530142205359,,0.140655,21.02247699,0,11.139917173847545
Kepler-297 b,2.869992262272463,,0.224576,38.871826,,7.856045254594757
Kepler-220 b,0.8099990581521143,,0.05062,4.159807,,0.4384693316259918
Kepler-483 b,3.205768489048462,,0.206202,30.229104,0,9.757256005825047
KELT-17 b,17.474800959533404,1.30224,0.0488209,3.0801716,,415.53568494526456
Kepler-245 c,2.180001035418071,,0.131719,17.460812,,5.188133709952797
Kepler-25 c,5.199991877831956,,0.113014,12.7204,0,28.572762162297884
Kepler-1435 b,0.8630915162822784,,0.0564501,4.45343281,0,0.5487262704629909
Kepler-1405 b,3.956770198021354,,0.18441,28.2274184,0,15.987891764587726
HD 163607 b,,0.768857,0.359201,75.29,0.73,244.3555264135784
XO-6 b,23.68054105141029,1.9809,0.0538776,3.7650007,0,631.1011579793111
Kepler-1254 c,1.3002417647888869,,0.0423228,3.60084276,0,2.322314583207793
Kepler-1397 b,1.714974051833618,,0.263981,47.449955,0,4.027912388269559
GJ 3293 d,,0.0238786,0.19394,48.13439034,0.116821,7.58901573767199
HATS-2 b,13.092089493736378,1.34754,0.0229834,1.354133,0,428.7822813096314
HD 19994 b,,1.32681,1.30567,466.2,0.266,421.6822582103043
Kepler-619 b,3.1609325661247074,,0.062026,5.4042722,0,9.475702269759967
WASP-29 b,8.877512738903436,0.242938,0.0456587,3.922727,0.03,77.22657622777945
OGLE-TR-182 b,12.666148225960708,1.02162,0.0513517,3.9791,0,325.6031184091593
Kepler-1289 b,1.5244213794076606,,0.0807438,7.99019627,0,3.9492845586019882
