NAME,A,PER,ECC,R,RUPPER,RLOWER,UR,MASS,MASSUPPER,MASSLOWER,UMASS
,au,day,,rearth,rearth,rearth,rearth,mearth,mearth,mearth,mearth
CoRoT-10 b,0.105463,13.2406,0.53,10.87271130901052,0.7846286511657077,0.7846286511657077,0.7846286511657077,875.6991784674099,50.86178141006327,50.86178141006327,50.86178141006327
Kepler-725 b,0.218045,39.64317811,0,10.626113732929868,0.0030264247973534435,1.4429320894937365,0.7229792571455449,198.16151757557495,56.55260565431354,56.55260565431354,56.55260565431354
Kepler-420 b,0.381935,86.647661,0.772,10.53644188708236,1.3450776877126416,1.3450776877126416,1.3450776877126416,460.8340865722607,111.23581400020085,111.23581400020085,111.23581400020085
Kepler-807 b,0.476837,117.93108781,0,10.424352079772973,0.007510017089728916,3.0525417224565308,1.5300258697731302,179.38491217234105,85.52635703525158,85.52635703525158,85.52635703525158
WASP-130 b,0.101359,11.55098,0,10.248505590066008,0.32970320101597655,0.32970320101597655,0.32970320101597655,392.2873998192226,14.954574615848145,14.954574615848145,14.954574615848145
Kepler-693 b,0.110433,15.37563332,0,10.177754503692322,0.011545250152866842,1.2662785531741427,0.6389119016635048,159.9005291754544,38.43229155368083,38.43229155368083,38.43229155368083
Kepler-816 b,0.0906432,10.50682565,0,10.245008388077954,0.011769429767485615,1.2100094699048305,0.6108894498361581,279.6938732549965,71.35110053228884,71.35110053228884,71.35110053228884
Kepler-643 b,0.126015,16.33889626,0,10.155336542230444,0.004595682099684859,0.6118982581019425,0.3082469701008137,158.28570297278296,20.049746966957915,20.049746966957915,20.049746966957915
Kepler-492 b,0.0989169,11.72012266,0,9.594887505683511,0.006052849594706887,1.7985930480864207,0.9023229488405637,204.61541950386663,67.48422582103042,67.48422582103042,67.48422582103042
K2-139 b,0.177066,28.38236,0.12,9.24239868863768,0.3886445052915445,0.3886445052915445,0.3886445052915445,124.0285682434468,25.677675303806367,25.677675303806367,25.677675303806367
Kepler-702 b,0.0907551,10.52629406,0,9.168946237907841,0.007285837475110142,1.416254715354102,0.7117702764146062,168.91476172541928,45.07084493321281,45.07084493321281,45.07084493321281
Kepler-46 b,0.1969,33.60134,0.01,9.056856430598454,0.4707771906994246,0.48198617143036326,0.4763816810648939,100.05025836095209,16.973663548257505,16.973663548257505,16.973663548257505
Kepler-950 b,0.420795,98.7180406,0,8.978393565481882,0.040352330631379246,2.3471605650585596,1.1937564478449694,97.0046217736266,35.871325298784775,35.871325298784775,35.871325298784775
Kepler-890 b,0.283321,52.75875577,0,8.888721719634374,0.004259412677756699,3.9188838431507813,1.961571627914269,93.6526099728834,50.01638922366174,50.01638922366174,50.01638922366174
HATS-17 b,0.130891,16.254611,0.029,8.834290909204935,0.5660568896066226,0.5660568896066226,0.5660568896066226,426.33191523551267,23.668247996384448,23.668247996384448,23.668247996384448
Kepler-148 d,0,51.84688575,0,8.675751085746539,0.008743004970132171,0.9216023956977782,0.46517270033395525,136.13483860600581,24.814358260520233,24.814358260520233,24.814358260520233
Kepler-108 b,0.262717,49.183921,,8.64998163904611,0.4799988191467678,0.4799988191467678,0.4799988191467678,85.34202340062267,14.421437250175757,14.421437250175757,14.421437250175757
